zip,commune,province,rank
6531,THUIN,Hainaut,106.0
5021,NAMUR,Namur,258.0
5032,GEMBLOUX,Namur,177.0
6743,ETALLE,Luxembourg,370.0
5550,VRESSE-SUR-SEMOIS,Namur,80.0
7160,CHAPELLE-LEZ-HERLAIMONT,Hainaut,400.0
4537,VERLAINE,Liège,379.0
9170,SINT-GILLIS-WAAS,Flandre-Orientale,252.0
9790,WORTEGEM-PETEGEM,Flandre-Orientale,511.0
4053,CHAUDFONTAINE,Liège,253.0
4800,VERVIERS,Liège,72.0
6441,FROIDCHAPELLE,Hainaut,4.0
7080,FRAMERIES,Hainaut,10.0
4347,FEXHE-LE-HAUT-CLOCHER,Liège,101.0
4181,HAMOIR,Liège,91.0
5651,WALCOURT,Namur,31.0
6940,DURBUY,Luxembourg,194.0
3723,KORTESSEM,Limbourg,206.0
1320,BEAUVECHAIN,Brabant Wallon,544.0
3471,KORTENAKEN,Brabant Flamand,300.0
7110,LA LOUVIÈRE,Hainaut,37.0
8900,IEPER,Flandre-Occidentale,265.0
1745,OPWIJK,Brabant Flamand,477.0
6567,MERBES-LE-CHÂTEAU,Hainaut,24.0
6780,MESSANCY,Luxembourg,427.0
7942,BRUGELETTE,Hainaut,62.0
7070,LE ROEULX,Hainaut,235.0
5361,HAMOIS,Namur,413.0
3294,DIEST,Brabant Flamand,348.0
2812,MECHELEN,Anvers,479.0
3400,LANDEN,Brabant Flamand,73.0
8800,ROESELARE,Flandre-Occidentale,249.0
5350,OHEY,Namur,223.0
3960,BREE,Limbourg,260.0
8582,AVELGEM,Flandre-Occidentale,105.0
7134,BINCHE,Hainaut,33.0
8647,LO-RENINGE,Flandre-Occidentale,410.0
4171,COMBLAIN-AU-PONT,Liège,60.0
6464,CHIMAY,Hainaut,95.0
8755,RUISELEDE,Flandre-Occidentale,462.0
3803,SINT-TRUIDEN,Limbourg,192.0
5002,NAMUR,Namur,258.0
6982,LA ROCHE-EN-ARDENNE,Luxembourg,70.0
9982,SINT-LAUREINS,Flandre-Orientale,221.0
2960,BRECHT,Anvers,513.0
6470,SIVRY-RANCE,Hainaut,22.0
8433,MIDDELKERKE,Flandre-Occidentale,71.0
1933,ZAVENTEM,Brabant Flamand,510.0
